title,authors,tags,series,series_index,comments,identifiers,languages,#subtitle,#title_opf,#info,#libreria
"Cold Retribution","Nolon King","","","1.0","The bestselling authors of Yesterday's Gone, 12, and No Justice bring you a brand new series that blends mystery and suspense into pulse-pounding, revenge-seeking thriller action.
After a harrowing trip across half the country, while dirty cops tried to kill them, Stan finds the bank in Billing, Texas is being watched. While Household Services comes up with a way to get the evidence to as many news sites as possible, Stan and Mo devise a plan to get them out of the bank alive.
Stan recruits the last member of their team, an ex-sniper with a personal score to settle, but he fears all their efforts may not be enough when a critical error leaves them exposed to an ambush the dirty cops have set.
Even if they survive, they will still need to escape the aftermath when the sex ring and police corruption are finally exposed.
","","eng","","Cold Retribution","","Misterio·Thriller·Terror [REVISAR]"
"Down Deep","Kimberly Kincaid","","","1.0","","mobi-asin:B07BLL3FT2","eng","","Down Deep","",""
"Down Deep_A Station Seventeen Engine Novel","Kimberly Kincaid","","","1.0","","mobi-asin:B07BLL3FT2","eng","","Down Deep_A Station Seventeen Engine Novel","",""
"A Dish Served Cold - B R Stateham","Near To The Knuckle","","Near To The Knuckle","6.0","","mobi-asin:B01LMGUEOM","eng","","A Dish Served Cold - B R Stateham","",""
"Las viudas negras","Jonathon King","Crimen & Misterio","Max Freeman","2.0","El ex-policía Max Freeman decide trasladarse a una cabaña aislada en lo más profundo de los Everglades de Florida para así deshacerse de los fantasmas de su antigua vida en Filadelfia. Pero su soledad auto-impuesta se ve interrumpida cuando recibe una llamada desesperada de su mejor amigo, el abogado Billy Manchester.<br /> <br /> Ha habido una serie de muertes; todas eran mujeres negras de edad avanzada y todas vivían en un barrio humilde. Aunque en un principio parecen muertes naturales, Billy sospecha que hay algo más detrás de ellas. La policía no ha querido investigar; no lo consideran un caso prioritario. De modo que, para ayudar a su amigo y resolver el caso, Max no sólo se enfrentará a los peligros de un paisaje urbano desolador donde no es bienvenido, sino también a los rincones más oscuros de su propio pasado.<br /> <br /> La historia está llena de giros inesperados y sorpresas, y ofrece una impresionante visión de la América moderna, rara vez expuesta hasta ahora. LAS VIUDAS NEGRAS confirma el destacado lugar que Jonathon King merece al frente de toda una nueva generación de escritores de novela negra.<br /> <br /> «Hay de todo para que el lector disfrute: tiroteos, diálogos geniales y todo el encanto de un héroe de carne y hueso» <br /> Publishers Weekly<br /> <br /> «King continúa escribiendo con tanta fuerza como en su destacado debut; EL FILO AZUL DE LA MEDIANOCHE» <br /> Kirkus Reviews<br /> <br /> «King prueba que el éxito de su primera novela, EL FILO AZUL DE LA MEDIANOCHE, no fue algo efímero. Parece que está en el buen camino a la hora de crear una gran serie» <br /> Booklist<br /> <br /> «Introduciéndose en el territorio de James Lee Burke, la segunda novela de Jonathon King, con el ex-policía convertido en investigador privado Max Freeman de protagonista, destila clase por todos sus poros. Es un autor con un gran futuro» <br /> The Independent","","spa","","Las viudas negras","","Ficción general [REVISAR]"
"The Killing Cure: Redeem (Book Three of The Killing Cure Series)","C. S. Kendall","","","1.0","","mobi-asin:B0847CCKGY","eng","","The Killing Cure: Redeem (Book Three of The Killing Cure Series)","",""
"Crossing Promises","Kimberly Kincaid","","Cross Creek","3.0","","mobi-asin:B077Y1FZYR","eng","","Crossing Promises","",""
"Maurice - B R Stateham","Near To The Knuckle","","Near To The Knuckle","11.0","","mobi-asin:B073YPMSFN","eng","","Maurice - B R Stateham","",""
"La cena","Herman Koch","","","1.0","¿Hasta dónde es capaz de llegar un padre para encubrir a un hijo que comete un delito injustificable? ¿Debe prevalecer el instinto de protección paterna, o la lealtad a unas normas sociales que garantizan la coherencia y la fortaleza del grupo? Estas y otras preguntas de igual calibre surgen como dardos durante la lectura de La cena, una novela ácida y provocadora que apunta sin miramientos a toda una clase social acomodada de los Países Bajos y, por extensión, de toda Europa, instalada en una inercia de autosatisfacción y complacencia, e indiferente hacia el devenir de la generación que ha de sucederla. Dos parejas se han citado a cenar en un moderno y exclusivo restaurante de Ámsterdam. Mientras saborean el aperitivo y charlan con aparente despreocupación sobre la última película de moda y sus planes para las vacaciones, son conscientes de que, tarde o temprano, deberán abordar el incierto y acuciante asunto que los ha llevado a reunirse: el futuro de Michel y Rick, sus hijos de quince años, que según algunos indicios podrían estar envueltos en un caso de violencia grave. Así pues, tras los postres, cuando la cena llegue a sus últimos compases, la tensión entre los comensales habrá alcanzado su punto culminante y la cadena de secretos y revelaciones confluirán en un final dramático en el que nadie podrá esgrimir su inocencia. El texto, narrado con profundidad perceptiva y construido de manera impecable, cuenta una historia sólida, bien asentada en la problemática social de nuestro tiempo, con humor y ironía. Su retrato de nuestra sociedad es implacable; traza una descripción de actitudes humanas, rica en ironía y sutilezas. Tras cosechar un éxito inmediato y arrollador en Holanda —copó las listas de bestsellers, y ya ha vendido más de 340 mil ejemplares—, La cena ganó el Premio del Público y fue declarado Libro del Año 2009.","","spa","","La cena","","Ficción general [REVISAR]"
"Recetas para un matrimonio perfecto","Kate Kerrigan","","","1.0","¿Existe la receta para un matrimonio perfecto? De ser así, ¿cómo mezclar los ingredientes en su justa proporción? Igual que al preparar un pastel, un día puedes acertar y al siguiente no: ayer demasiado dulce, hoy un tanto insípido, mañana una pizca amargo. Se dice que el elemento imprescindible es el amor, pero existen muchas clases de amor y muchas maneras de entenderlo. Y además, hay que añadir otros factores como el romanticismo, el sexo, la fidelidad o la afinidad de intereses, por no hablar de la mayor renuncia de todas: la independencia personal. Precisamente esto último se ha vuelto un martirio para Tressa, una escritora neoyorquina que, recién llegada de su luna de miel, se plantea la pregunta del millón: ¿se ha casado por amor o por miedo a quedarse sola? Seguramente Tressa se sentiría mucho mejor si leyese los diarios de su abuela Bernardine, unas páginas de incalculable valor humano donde se relata cómo, en los años treinta, contrajo matrimonio con un apacible maestro de escuela después de que su familia no consintiera su boda con el impetuoso Michael, a quien amaba con ardorosa pasión. Entre recetas tradicionales de tartas de ruibarbo, mermelada de grosella y pan casero, el lector descubrirá la verdad que la propia Tressa ignora sobre sus abuelos y su madre, y quizá también encuentre, de paso, la clave para conseguir el verdadero matrimonio perfecto. Novela tan entrañable como divertida, Recetas para un matrimonio perfecto rastrea con sutileza y amenidad los cambios que nuestra época ha operado en el ideal de amor romántico. Hoy en día, el verdadero amor quizá no sea ya fruto exclusivo de un arrebato pasional, quizá también deba aprenderse con esfuerzo, paciencia y dedicación.","","spa","","Recetas para un matrimonio perfecto","","Romance histórico [REVISAR]"
"El buda de los suburbios","Hanif Kureishi","Topic.People & Places.Europe.England","","1.0","«Mi nombre es Karim Amir y soy inglés de los pies a la cabeza, casi.» Así empieza ""El buda de los suburbios"". El buda en cuestión es el padre de Karim, un respetable pakistaní de clase y edad medias, casado con una inglesa, que un buen día decide brindar a las amas de casa y a sus maridos de los suburbios la ración de trascendencia y éxtasis místico a que todos creían tener derecho en los años setenta. El adolescente Karim tolera con juvenil cinismo los desvaríos de sus mayores. ¿Acaso no está él siempre a la búsqueda de diversión, sexo y respuestas a los más diversos interrogantes de la vida? Pero todo se saldrá muy pronto de su cauce y Karim verá las puertas abiertas para lanzarse a la «vida verdadera» en ese caldero mágico de feminismo, promiscuidad sexual, teatro, drogas y rock and roll que era el Londres multirracial y fascinante de los setenta, durante el fin de la era hippy y los albores del punk.
","goodreads:214834,isbn:9788433920898","spa","","El buda de los suburbios","","Ficción general [REVISAR]"
"Curiouser and Curiouser","Melanie Karsak","","Steampunk Fairy Tales","1.0","","mobi-asin:B078YT13DS","eng","","Curiouser and Curiouser","",""
"Amor y basura","Ivan Klíma","","","1.0","El protagonista de Amor y basura es un escritor que se ve convertido en barrendero por la censura estatal, y que comparte con los otros miembros de la brigada de limpieza a la que pertenece un similar afán de evasión. Este deseo de elevarse por encima de la realidad, y la imposibilidad material de despegarse de ésta, crean una disyuntiva que constituye el núcleo de esta historia, una bellísima novela en la que Klíma reivindica no solamente la necesidad de la memoria, sino el papel de la literatura en la conformación de la vida personal y de la historia colectiva.","","spa","","Amor y basura","","Ficción general [REVISAR]"
"La medición del mundo","Daniel Kehlmann","Ficción Histórica","","1.0","Daniel Kehlmann nos ofrece una historia llena de fina ironía centrada en dos personajes extraordinarios: Alexander von Humboldt, naturista, viajero y aventurero empedernido de inagotable curiosidad, y Carl Friedrich Gauss, matemático y astrónomo. Se reencuentran en Berlín en 1828, ya mayores, y se ponen a evocar sus años de juventud en los que se dedicaron a la descomunal empresa de medir el mundo. En los tiempos en los que Humboldt recorrió nuestro planeta, gran parte de la tierra quedaba todavía por explorar, lo cual, unido a su carácter intrépido y temerario, lo llevó a protagonizar las más descabelladas aventuras: navegar por el Orinoco, explorar selvas vírgenes, probar venenos, escalar volcanes o medirse con monstruos marinos y con caníbales no menos aterradores. Carl Friedrich Gauss, al que se conoció como el «príncipe de las matemáticas», no se queda corto en términos de excentricidad: brillante matemático, Gauss es también un apasionado de las mujeres, un auténtico galán que, eso sí, es capaz de abandonar el lecho conyugal en plena noche nupcial para anotar una fórmula matemática. En lugar de ensalzar a estos personajes históricos, el autor nos los muestra en todas sus facetas: con sus grandezas, pero también con sus errores, sus pequeñas manías y sus debilidades, y consigue de este modo una perspectiva humana inédita de estos dos grandes nombres de la historia.","","spa","","La medición del mundo","","Ficción general [REVISAR]"
"El filo azul de la medianoche","Jonathon King","Crimen & Misterio","Max Freeman","1.0","La vida de Max Freeman cambió una noche que no olvidaría jamás. La noche en que mató a un niño en defensa propia durante un tiroteo en Filadelfia. La noche en que dejó de ser policía. Ahora lleva una existencia solitaria en los Everglades de Florida, donde intenta deshacerse de los fantasmas de su conciencia.<br /> <br /> Pero encuentra el cadáver de una niña junto a un antiguo río y su pasado estalla en el presente.<br /> <br /> De pronto, Freeman se ve envuelto en la búsqueda de un asesino en serie que desconcierta tanto a las autoridades locales como al FBI. Los antiguos habitantes de los Glades -tipos duros y curtidos que viven aislados de la civilización-, desconfían de él y lo presentan ante la policía como sospechoso. Freeman debe caminar por una sutil cuerda floja de desconfianza a ambos lados de la ley. Cuando desaparece otro niño, todos los ojos se vuelven hacia él, y el ex policía, impulsado por sus viejas costumbres y el recuerdo de aquella lejana noche en Filadelfia, sabe que no tiene más opción que atrapar él mismo al asesino.<br /> <br /> Jonathon King nos presenta una electrizante historia de crimen, castigo y redención personal sobre un fondo de salvaje belleza natural en conflicto con el moderno mundo urbano y anuncia la llegada de una sorprendente nueva voz en la novela negra contemporánea.<br /> <br /> «EL FILO AZUL DE LA MEDIANOCHE es un libro genial que descubre un nuevo gran talento en Jonathon King. De principio a fin está lleno de personajes auténticos y repleto de sorpresas. King añade nuevas dimensiones de profundidad y sustancia a la moderna novela negra»<br /> <br /> Michael Connelly<br /> <br /> «Un notable comienzo. Ya sea en los más oscuros rincones de los Everglades o en las duras calles de Filadelfia, la escritura de King es valiente, vivaz y emocionante»<br /> <br /> Harlan Coben","","spa","","El filo azul de la medianoche","","Misterio·Thriller·Terror [REVISAR]"
"Dreamwander (In The Ruins of Eden Book 1)","Kildare","","","1.0","","mobi-asin:a43780e4-b8ae-4e97-8e8f-298dd7554fd8","eng","","Dreamwander (In The Ruins of Eden Book 1)","",""
"Grave Danger","Frank Kane","","","1.0","","isbn:978-1-4405-3995-4","eng","","Grave Danger","",""
"Hegemony","Mark Kalina","","","1.0","","","eng","","Hegemony","",""
"Dreamwander (In The Ruins of Eden Book 1)","Kildare","","","1.0","","mobi-asin:B079Y1TZ9D","eng","","Dreamwander (In The Ruins of Eden Book 1)","",""
"All the Light There Was","Nancy Kricorian","Literary, Historical, Fiction, _Biblioteca.Ficcion Historica","","1.0","All the Light There Was is the story of an Armenian family’s struggle to survive the Nazi occupation of Paris in the 1940s—a lyrical, finely wrought tale of loyalty, love, and the many faces of resistance. On the day the Nazis march down the rue de Belleville, fourteen-year-old Maral Pegorian is living with her family in Paris; like many other Armenians who survived the genocide in their homeland, they have come to Paris to build a new life. The adults immediately set about gathering food and provisions, bracing for the deprivation they know all too well. But the children—Maral, her brother Missak, and their close friend Zaven—are spurred to action of another sort, finding secret and not-so-secret ways to resist their oppressors. Only when Zaven flees with his brother Barkev to avoid conscription does Maral realize that the Occupation is not simply a temporary outrage to be endured. After many fraught months, just one brother returns, changing the contours of Maral’s world completely. Like Tatiana de Rosnay’s Sarah’s Key and Jenna Blum’s Those Who Save Us, All the Light There Was is an unforgettable portrait of lives caught in the crosswinds of history.
","isbn:9780547939940,mobi-asin:f934065e-d405-4e72-834c-1f2575dc81f3","eng","","All the Light There Was","","Ficción general [REVISAR]"
"Metrópolis","Ferenc Karinthy","","","1.0","El protagonista de esta novela (titulada Épépé en su idioma original), llamado Budai, es un prestigioso lingüista y políglota húngaro que vuela desde su país para acudir a un Congreso de lingüística en Helsinki (Finlandia); se duerme durante el viaje y, al despertar, descubre que debe de haberse equivocado de avión, pues no está en Helsinki. En cuanto trata de enmendar el error, constata que no entiende a nadie y que nadie lo entiende: ha aterrizado en una gran ciudad donde sus habitantes hablan una lengua desconocida. El buen humor inicial con el que se lo toma, pronto se transforma en una lucha denodada por salir de la ciudad tentacular… Publicada en 1970, esta novela de culto recuerda la sociedad de su época: el decorado parece tomado prestado a una URSS en ruinas, o en el momento de la creación de las fronteras y de la instalación de las grandes dictaduras soviéticas. A menos de que se trate de un visión futurista de las grandes metrópolis mestizas del siglo XXI.","","spa","","Metrópolis","","Ficción general [REVISAR]"
"En mitad de la noche un canto","Jiri Kratochvil","","","1.0","«Fui concebido bajo un firmamento iluminado por proyectiles y con la tos asfixiante de los lanzacohetes katiusha como ruido de fondo, y nací poco antes de la Navidad de aquel año que sería el último de la guerra y el primero de la paz». Así comienza En mitad de la noche un canto, una alegoría universal sobre la infancia, la pérdida, la búsqueda del padre y de la propia identidad en la Checoslovaquia comunista. En el marco de una fantasmagórica ciudad de Brno, bajo la constante vigilancia de un kafkiano Ellos, nos introducimos en un laberinto de vidas al límite que se entreveran con los convulsos acontecimientos históricos que atravesará el país a lo largo de esas décadas. Fantasía y realidad, comedia y tragedia, lo mítico y lo grotesco se entremezclan en la historia de un hijo natural cuya vida está marcada por la necesidad de averiguar la identidad de su padre y, al mismo tiempo, en la historia paralela de un muchacho cuyo padre emigró durante su infancia y cuyos rastros también se perdieron.","","spa","","En mitad de la noche un canto","","Ficción general [REVISAR]"
"Eternal City","Nancy Kilpatrick & Michael Kilpatrick","horror, _Biblioteca.Horror","","1.0","In the heart of the Canadian woods, the environment is deteriorating. People have moved away and some have disappeared. When Claire Mowatt inherits her aunt's land, she arrives to find that the air, land and water have become polluted since the environmentally correct gated community Eternal City bought the island on Skeleton Lake. Claire knows she should just sell, but something compels her to hesitate. The longer she remains, the more she comes to believe that all is not as it seems with the town or with the residents of the wondrous Eternal City.&nbsp;","mobi-asin:B004UCHZIO","eng","","Eternal City","","Misterio·Thriller·Terror [REVISAR]"
"Los diarios de Nanny","Emma Mclaughlin & Nicola Kraus","Comedy.Funny","Nanny","1.0","Si eres entusiasta, alegre, te gusta trabajar en turnos de dieciséis horas, que te vomiten encima (literal y figuradamente), que te paguen poco y sin regularidad, y, sobre todo, si no te tomas las cosas muy a pecho y te apetece que te traten como si fueras moho en el fondo de un bolso de Hermès¿ ¿por qué no trabajas de niñera?   
Mientras estudia y se costea su microscópico apartamento, Nanny empieza a trabajar cuidando al hijo de los riquísimos Señores X. ¡No sabe lo que le espera! Pronto aprenderá a hacer todo lo necesario para que la Señora X --que no trabaja ni dentro ni fuera de casa-- tenga un buen día. Y que Grayer, el niño, coma sólo alimentos orgánicos y se mantenga cuerdo en medio de esa loca familia. Y a acostumbrarse a que el Señor X la trate como si fuera invisible. Y, más importante aún, a conservar el sentido del humor, cuidar de su gato George y atraer la atención del estupendo vecino del sexto.   
Las aventuras de Nanny nos asoman a los pisos más lujosos de Nueva York con mucho humor y frescura. Una novela explosiva que llega precedida de un éxito espectacular en Estados Unidos, donde alcanzó el número uno en todas las listas de best-sellers, al igual que en Gran Bretaña.
","goodreads:14768,isbn:9788420465609","spa","","Los diarios de Nanny","","Ficción general [REVISAR]"
"When We Were Brave","Suzanne Kelman","","","1.0","The face of woman in the photograph was tilted upwards, as if enjoying the sunshine just for a moment, even as the wreckage of the bombed-out street lay behind her…
1944, Cornwall: Blinded by love, Vivienne Hamilton eloped to Paris with a Nazi prisoner-of-war, never to be seen again. A disgrace to her family, her name would not be mentioned by any of her relatives for over 75 years.
Present day, London: When Sophie discovers a photograph of her great aunt Vivi from World War Two, it throws her into a world of confusion. Because, as she learns about this secret relative, she quickly realises that the photograph doesn’t fit with her family’s story. It shows Vivi leaving an address associated with a spy network in London – a place she had no reason to be – and it is dated right before she disappeared.
Meanwhile Sophie’s own life feels as blasted and bombed as the Blitzed city in the photograph she’s looking at. Her beautiful daughter – as full of joy and wild energy as Vivi had apparently once been – is gone; and Sophie’s heart has been left broken into pieces.
Retreating to the family home in rural Cornwall to seek solace from her pain and the feelings of guilt that she could have done more to protect her daughter, Sophie finds herself becoming obsessed with Vivi’s life.
But nothing can prepare Sophie for what she is about to uncover – the story of a woman who risked everything for the person she loved the most; and a secret family history that could be the key to Sophie’s own future.
","mobi-asin:B081TMK8CF,isbn:9781838882518","eng","","When We Were Brave","","Ficción general [REVISAR]"
"La historia del amor","Nicole Krauss","","","1.0","La publicación de La historia del amor, segunda novela de Nicole Krauss, supuso la confirmación del extraordinario talento de esta joven escritora norteamericana, suscitando el elogio entusiasta de críticos y escritores, entre ellos el Premio Nobel de Literatura J.M. Coetzee. Con una sabia mezcla de humor y ternura, Nicole Krauss ha escrito una hermosa aproximación al insondable tema del amor, la pérdida y la memoria, además de un homenaje a la literatura y a la forma en que los libros pueden cambiar la vida de las personas. Leo Gursky, cerrajero polaco jubilado en Nueva York, cuya obsesión es «no morirme un día en que nadie me haya visto», recibe misteriosamente el manuscrito de un texto que creía perdido, acompañado de una enigmática carta. Instalado en el ocaso de su vida, esta sorpresa lo lleva a bucear en los recuerdos de su lejana juventud, recuperando emociones que suponía enterradas. No muy lejos de allí, la quinceañera Alma Singer padece los dilemas y conflictos de su edad. Hace ya ocho años que su padre murió de cáncer y ella ha decidido que es hora de que su madre deje de estar triste, o sea, se dispone a encontrarle un nuevo marido. Cuando en su camino aparece La historia del amor, una novela rara, escrita en yidis, publicada en español y comprada por su padre en una librería de Buenos Aires, los interrogantes se suceden. ¿Por qué su padre se la regaló a su madre muy poco después de conocerla? ¿Quién era su autor? ¿Y quién es el misterioso hombre que ha encargado a su madre que traduzca el libro al inglés? Como en una afinada composición musical, la intensidad de la historia va aumentando progresivamente hasta que los pasos del anciano que busca reconciliarse con su pasado y la adolescente que quiere poner remedio a la soledad de su madre se entrecruzan mediante una ingeniosa y compleja trama cuyos hilos convergen en un final inolvidable. Con un tono intimista y envolvente, la autora ha logrado lo más difícil, contar una verdadera historia de amor en el sentido más amplio y profundo de la palabra, una historia llena de pasión y melancolía que conmoverá a todo tipo de lectores.","","spa","","La historia del amor","","Ficción general [REVISAR]"
"En la batalla de Inglaterra","Judith Kerr","Military & Wars, History, Ficción Histórica, Biographies & Memoirs.Biography, Jovenes Adultos (13-18)","Out of the Hitler Time","2.0","It is hard enough being a teenager in London during the Blitz, finding yourself in love and wondering every night whether you will survive the bombs. But it is even harder for Anna, who is still officially classified as an “enemy alien”. Those bombs are coming from Germany – the country that was once her own. If Hitler invades, can she and her beloved refugee family possibly survive?
","goodreads:10406555,google:OXTpJwAACAAJ,isbn:9788420432212","spa","","En la batalla de Inglaterra","","Ficción general [REVISAR]"
"A Thunder Of Stars","Dan Morgan & John Kippax","","Venturer Twelve","1.0","","","eng","","A Thunder Of Stars","",""
"From Hell with Love","Kevin Kauffmann","","","1.0","","mobi-asin:a6472039-166a-4ad7-bea3-9b0da8141074","eng","","From Hell with Love","",""
"El pájaro pintado","Jerzy Kosiński","","","1.0","EN OTOÑO DE 1939, en un país de Europa central, un niño de seis años es enviado por sus padres a una remota aldea. Quieren salvarlo de los horrores que se avecinan. Pronto pierden el contacto con su hijo y este, librado a su propia suerte, vaga por Europa durante años. En su viaje se convierte en testigo y partícipe de una pesadilla inimaginable; sus experiencias le hacen perder el habla y sumirse en un abismo del que le costará mucho salir.","","spa","","El pájaro pintado","","Ficción general [REVISAR]"
"Bare Trap","Frank Kane","","","1.0","","isbn:978-1-4405-3993-0","eng","","Bare Trap","",""
"Dead of Spring: An Alexa Williams Novel","Sherry Knowlton","","","1.0","","mobi-asin:B01MSF0HAK","eng","","Dead of Spring: An Alexa Williams Novel","",""
"Herald of Death","Kate Kingsbury","","","1.0","","","eng","","Herald of Death","",""
"Ruined by a Rake","Erin Knightley","","","1.0","","","eng","","Ruined by a Rake","",""
"Deadly Discovery: Book One","Tami Kidd","","","1.0","","mobi-asin:a4839393-fe0a-459e-b4f4-7ecf49cf100e","eng","","Deadly Discovery: Book One","",""
"Full Potential","L. J. Kentowski","","Heart of Seeton Novel","1.0","","mobi-asin:B07CWXNW8M","eng","","Full Potential","",""
"Guilty Crime","W. L. Knightly","","Hangman","2.0","With new victims in his sights, the Hangman will stop at nothing to get his revenge, even if it means dragging Detective Jake Thomas down with him.  After making it personal, Jake is even more hellbent on solving the case, even if it means delaying his early retirement.  But when his only informant skips town and Jake finds most of the truth has been buried, not only with missing case files but in his own mind, can he and Detective Jo Calloway unlock the clues they need to bring the Hangman to justice before Chief O’Connor becomes the next victim?","ff:k/wl-knightly/guilty-crime","eng","","Guilty Crime: Hangman #2","","Misterio·Thriller·Terror [REVISAR]"
"La promesa de Kamil Modrácek","Jiri Kratochvil","","","1.0","Brno, años cincuenta. En pleno terror estalinista, una joven pintora es asesinada tras un interrogatorio de la policía secreta. Su hermano, un arquitecto especializado en diseñar edificios de mal gusto para los gerifaltes comunistas, jura venganza. Un día, por casualidad, descubre un sótano abovedado situado justo debajo de su edificio, en el centro de Brno, y es entonces, tras recordar un relato de Nabokov, a quien conoció en su infancia, cuando se propone encerrar allí al responsable de la muerte de su hermana. No obstante, su particular campaña de venganza privada se le va de las manos y las consecuencias se vuelven imprevisibles. Con esta historia de crímenes con trasfondo político, Kratochvil, considerado el escritor checo más importante de la era post-Kundera, crea una parábola laberíntica cargada de un humor negro de altísima graduación.","","spa","","La promesa de Kamil Modrácek","","Ficción general [REVISAR]"
"Hot Whispers of an Irishman","Dorien Kelly","","","1.0","","","eng","","Hot Whispers of an Irishman","",""
"Warrior Blue","Kelsey Kingsley","","","1.0","","mobi-asin:B083L93R23","eng","","Warrior Blue","",""
"An Unmentionable Murder","Kate Kingsbury","","","1.0","<p>More information to be announced soon on this forthcoming title from Penguin USA","isbn:9780425211144","eng","","An Unmentionable Murder","","Misterio·Thriller·Terror [REVISAR]"
"Into the Madness: A Reverse Harem Series (The Villainous Wonderland Series Book 1)","A. K. Koonce","","","1.0","","mobi-asin:B07QK1TH5D","eng","","Into the Madness: A Reverse Harem Series (The Villainous Wonderland Series Book 1)","",""
"Jewels and Panties_Book Fourteen_Countered Questions","Brooke Kinsley","","","1.0","","mobi-asin:B07D52Z7N3","eng","","Jewels and Panties_Book Fourteen_Countered Questions","",""
"Titus: House Trajan Book I","Petra J. Knox","","","1.0","","mobi-asin:B0CCZP2BYD","eng","","Titus: House Trajan Book I","",""
"La clave misteriosa","Kathryn Kenny","Jovenes Adultos (13-18)","Trixie Belden","14.0","Un nuevo libro de la colección Trixie Belden.","","spa","","La clave misteriosa","","Ficción general [REVISAR]"
"Call Me Wild","Robin Kaye","","","1.0","She doesn't know a single thing about relationships...
Unemployed sportswriter Jessie James plans to make a killing writing a bestselling romance novel. She's never read one, but really, how hard can it be? Moving cross–country to a borrowed house in Idaho, Jessie starts her research with the first gorgeous guy she runs into...Luckily, he knows everything...
Sports doctor Fisher Kincaid notices Jessie right away—the transplanted Easterner sticks out like a sore thumb in the small town. When he discovers she's researching attraction and romance, he graciously offers himself as a test subject. That's when everything starts to go wrong, and they both find out how much they need a few good lessons in love...
","","eng","","Call Me Wild","","Romance contemporáneo [REVISAR]"
"Corazones Perdidos","Heinz G. Konsalik","","","1.0","El cirujano cardiovascular Volkmar debe mantener una lucha titánica para defender su ética profesional, su resistencia a los ataques constantes de la mafia siciliana, con sus terribles vendettas, adquiere momentos de dramatismo aterrador. Junto a eso, están sus sentimientos amorosos en tres frentes —la Dra. Blüthgen, Anna y Loretta—, adobado todo ello con finas dosis de erotismo, que hacen más humano y real el argumento, narrado con un ritmo tal que, una vez comenzada, no puede abandonarse su lectura hasta el final.
","isbn:9788422612209,goodreads:1200159","spa","","Corazones perdidos","","Romance contemporáneo [REVISAR]"
"Zero Trust","Peter Kozmar","","","1.0","He’s trying to reckon with his failures. Has his determination to deliver justice painted a target on his back?
Former CIA agent Andy Flint is doing his best to rebuild his life. Taking a European trip to visit a close colleague recovering from gunshot wounds, he’s surprised by an urgent request from an old connection to meet. But his catch-up over coffee in Brussels turns deadly when the man is stabbed to death before Flint’s eyes…
Vowing to expose the killers, the determined operative hunts down clues revealing major players with corrupt agendas to poison the next election. But as he chases the trail from Munich to London, Flint discovers a ruthless team of assassins has him in their crosshairs.
Can the skilled investigator stay alive long enough to prevent a treacherous political power play?
Prizm is the captivating fourth book in The Andy Flint Thriller Series. If you like dogged heroes, battling corruption, and high-octane action, then you’ll love Peter Kozmar’s mind-boggling ticking clock.
","mobi-asin:B08M3YZZ68","eng","","Zero Trust","","Misterio·Thriller·Terror [REVISAR]"
"Tasty Cherry: A Boss and Intern Age Gap Romance","J. J. Knight","","","1.0","","mobi-asin:B0D1NZ1X44","eng","","Tasty Cherry: A Boss and Intern Age Gap Romance","",""
"Crítica de la razón pura","Immanuel Kant","","","1.0","","","spa","","Crítica de la razón pura","",""
"Rendezvous","Thomas King","","","1.0","<p>Alistair takes exception to the animals that have started to appear everywhere: skunks in the garden, raccoons in the attic, antelope and coyotes running wild in the streets.</p><p>A Short History of Indians in Canada, Thomas King's bestselling collection of twenty tales, is a comic tour de force, showcasing the author at his hilarious and provocative best. With his razor-sharp observations and mystical characters, including the ever-present and ever-changing Coyote, King pokes a sharp stick into the gears of the Native myth-making machine, exposing the underbelly of both historical and contemporary Native-White relationships. Through the laughter, these stories shimmer brightly with the universal truths that unite us.</p><p>HarperCollins brings great works of literature to life in digital format, upholding the highest standards in ebook production and celebrating reading in all its forms. Look for more titles in the HarperCollins short-stories collection to build your digital...","isbn:9781443419642","eng","","Rendezvous","","Ficción general [REVISAR]"
"Una mirada dentro del sol","James Patrick Kelly","","","1.0","Phillip Wing es un arquitecto de fama: ha construido la Nube de Cristal, una de las Siete Maravillas del mundo moderno. Es aclamado, admirado y querido por todo el mundo.  Pero su vida está destrozada. Engañado por su mujer, empujado por los vaivenes de una profesión en la que se siente inseguro de sí mismo, navega en el mar de sus propias dudas hacia su destrucción. Hasta que los mensajeros, esos seres alienígenas que han venido a la Tierra a predicar y difundir su mensaje, le ofrecen el desafío definitivo: a muchos años luz de distancia una diosa va a morir, y sólo él puede construir el sepulcro que perpetúe su nombre.  Pero aceptar el reto significa el sacrificio definitivo. Significa partir en un viaje sólo de ida, abandonar para siempre la Tierra; significa renunciar a seguir siendo humano, convertirse en algo completamente distinto, ni humano ni alienígena; significa perpetuar de una manera absoluta su soledad.  Pero algo impulsa a Phillip Wing a aceptar el desafío...","","spa","","Una mirada dentro del sol","","Ciencia Ficción [REVISAR]"
"Marriage and Ministry: a Pride and Prejudice Novel","Amanda Kai","","","1.0","","mobi-asin:B07TYJ8HJV","eng","","Marriage and Ministry: a Pride and Prejudice Novel","",""
